bus,car,location,motorbike,timestamp_utc,total_vehicles,traffic_status,truck
0,4,CMT8_PhamVanHai,2,2025-07-05T07:40:51.835039,6,1,0
0,4,CMT8_PhamVanHai,10,2025-07-05T07:41:07.576923,15,3,1
0,1,CMT8_PhamVanHai,4,2025-07-05T07:41:23.226295,6,2,1
0,3,CMT8_PhamVanHai,3,2025-07-05T07:41:40.890700,7,2,1
1,4,CMT8_PhamVanHai,3,2025-07-05T07:41:56.771540,9,3,1
0,5,CMT8_PhamVanHai,6,2025-07-05T07:42:13.373689,11,2,0
0,5,CMT8_PhamVanHai,5,2025-07-05T07:42:29.073140,11,2,1
0,2,CMT8_PhamVanHai,5,2025-07-05T07:42:45.157253,7,1,0
0,4,CMT8_PhamVanHai,1,2025-07-05T07:43:01.271393,8,3,3
0,3,CMT8_PhamVanHai,9,2025-07-05T07:43:16.919165,13,2,1
0,1,CMT8_PhamVanHai,2,2025-07-05T07:43:32.469995,4,1,1
0,3,CMT8_PhamVanHai,4,2025-07-05T07:43:48.028636,7,1,0
0,3,CMT8_PhamVanHai,1,2025-07-05T07:44:03.611179,4,1,0
0,5,CMT8_PhamVanHai,11,2025-07-05T07:44:20.139427,16,2,0
0,5,CMT8_PhamVanHai,1,2025-07-05T07:44:35.914183,6,2,0
0,1,CMT8_PhamVanHai,3,2025-07-05T07:44:51.524213,4,1,0
0,3,CMT8_PhamVanHai,4,2025-07-05T07:45:07.942885,7,1,0
0,1,CMT8_PhamVanHai,5,2025-07-05T07:45:23.586291,6,1,0
0,3,CMT8_PhamVanHai,5,2025-07-05T07:45:39.197033,8,2,0
0,3,CMT8_PhamVanHai,2,2025-07-05T07:45:54.766580,7,2,2
0,1,CMT8_PhamVanHai,1,2025-07-05T07:46:10.470800,3,1,1
0,5,CMT8_PhamVanHai,7,2025-07-05T07:46:26.812962,13,3,1
0,4,CMT8_PhamVanHai,9,2025-07-05T07:46:42.419613,14,3,1
0,7,CMT8_PhamVanHai,5,2025-07-05T07:46:58.163343,12,2,0
0,5,CMT8_PhamVanHai,3,2025-07-05T07:47:13.733347,8,2,0
0,2,CMT8_PhamVanHai,6,2025-07-05T07:47:29.315920,9,2,1
0,6,CMT8_PhamVanHai,3,2025-07-05T07:47:45.016387,9,2,0
0,5,CMT8_PhamVanHai,4,2025-07-05T07:48:00.640255,9,2,0
0,4,CMT8_PhamVanHai,2,2025-07-05T07:48:16.175620,7,2,1
0,5,CMT8_PhamVanHai,2,2025-07-05T07:48:31.717244,7,2,0
0,2,CMT8_PhamVanHai,3,2025-07-05T07:48:47.245402,6,2,1
0,3,CMT8_PhamVanHai,1,2025-07-05T07:49:02.798975,4,1,0
0,1,CMT8_PhamVanHai,3,2025-07-05T07:49:18.358845,4,1,0
0,4,CMT8_PhamVanHai,1,2025-07-05T07:49:34.148082,5,1,0
0,2,CMT8_PhamVanHai,0,2025-07-05T07:49:49.749091,3,1,1
0,1,CMT8_PhamVanHai,5,2025-07-05T07:50:05.329603,8,2,2
0,1,CMT8_PhamVanHai,6,2025-07-05T07:50:20.876259,8,2,1
0,3,CMT8_PhamVanHai,3,2025-07-05T07:50:36.449262,7,2,1
0,3,CMT8_PhamVanHai,3,2025-07-05T07:50:51.988746,6,1,0
0,3,CMT8_PhamVanHai,4,2025-07-05T07:51:07.523947,7,1,0
0,3,CMT8_PhamVanHai,3,2025-07-05T07:51:23.319785,7,2,1
0,5,CMT8_PhamVanHai,1,2025-07-05T07:51:38.897312,6,2,0
0,5,CMT8_PhamVanHai,0,2025-07-05T07:51:54.535938,6,2,1
0,3,CMT8_PhamVanHai,4,2025-07-05T07:52:10.101341,7,1,0
0,4,CMT8_PhamVanHai,7,2025-07-05T07:52:25.645544,11,2,0
2,1,CMT8_PhamVanHai,1,2025-07-05T07:52:41.177227,5,2,1
1,4,CMT8_PhamVanHai,4,2025-07-05T07:52:56.741694,10,3,1
0,1,CMT8_PhamVanHai,1,2025-07-05T07:53:12.315468,2,1,0
0,2,CMT8_PhamVanHai,3,2025-07-05T07:53:28.027476,5,1,0
0,1,CMT8_PhamVanHai,1,2025-07-05T07:53:43.625080,2,1,0
0,4,CMT8_PhamVanHai,0,2025-07-05T07:53:59.168937,4,1,0
0,4,CMT8_PhamVanHai,4,2025-07-05T07:54:14.702391,8,2,0
0,4,CMT8_PhamVanHai,2,2025-07-05T07:54:30.298044,8,2,2
0,2,CMT8_PhamVanHai,7,2025-07-05T07:54:46.031461,9,1,0
0,3,CMT8_PhamVanHai,4,2025-07-05T07:55:01.651306,8,2,1
0,4,CMT8_PhamVanHai,0,2025-07-05T07:55:17.246040,4,1,0
1,4,CMT8_PhamVanHai,3,2025-07-05T07:55:32.809333,9,3,1
0,3,CMT8_PhamVanHai,3,2025-07-05T07:55:48.436068,6,1,0
0,3,CMT8_PhamVanHai,3,2025-07-05T07:56:04.025123,6,1,0
0,3,CMT8_PhamVanHai,5,2025-07-05T07:56:19.573170,8,2,0
0,4,CMT8_PhamVanHai,3,2025-07-05T07:56:35.182810,7,2,0
0,6,CMT8_PhamVanHai,1,2025-07-05T07:56:52.441752,7,2,0
0,5,CMT8_PhamVanHai,1,2025-07-05T07:57:08.053680,6,2,0
1,2,CMT8_PhamVanHai,2,2025-07-05T07:57:23.672202,7,3,2
0,0,CMT8_PhamVanHai,6,2025-07-05T07:57:39.461281,7,1,1
0,2,CMT8_PhamVanHai,1,2025-07-05T07:57:55.022707,4,1,1
0,0,CMT8_PhamVanHai,3,2025-07-05T07:58:10.714263,4,1,1
0,4,CMT8_PhamVanHai,2,2025-07-05T07:58:26.301979,6,1,0
0,2,CMT8_PhamVanHai,0,2025-07-05T07:58:41.912738,2,1,0
0,1,CMT8_PhamVanHai,2,2025-07-05T07:58:57.451105,3,1,0
1,1,CMT8_PhamVanHai,2,2025-07-05T07:59:13.024412,5,2,1
0,2,CMT8_PhamVanHai,0,2025-07-05T07:59:28.558170,2,1,0
0,3,CMT8_PhamVanHai,0,2025-07-05T07:59:44.160794,3,1,0
0,1,CMT8_PhamVanHai,1,2025-07-05T07:59:59.826501,4,2,2
0,1,CMT8_PhamVanHai,1,2025-07-05T08:00:15.438852,3,1,1
0,1,CMT8_PhamVanHai,0,2025-07-05T08:00:30.989838,2,1,1
0,3,CMT8_PhamVanHai,0,2025-07-05T08:00:46.511328,4,2,1
0,2,CMT8_PhamVanHai,2,2025-07-05T08:01:03.118798,4,1,0
0,3,CMT8_PhamVanHai,5,2025-07-05T08:01:18.685933,9,2,1
